area,year,latitude,longitude,aqi_openweather_avg,pm2_5_avg,pm10_avg,no2_avg,o3_avg,co_avg
A. Narayanapura,2020,12.9959732,77.6781360,3.63,42.83,47.78,16.51,59.0,566.13
A. Narayanapura,2021,12.9959732,77.6781360,2.51,24.37,28.53,18.02,41.71,606.76
A. Narayanapura,2022,12.9959732,77.6781360,2.67,26.97,31.36,19.51,45.67,625.3
A. Narayanapura,2023,12.9959732,77.6781360,2.22,23.57,27.92,18.23,47.04,591.49
A. Narayanapura,2024,12.9959732,77.6781360,2.21,22.74,25.86,15.89,49.45,596.5
A. Narayanapura,2025,12.9959732,77.6781360,2.1,21.43,26.53,10.02,53.59,327.1
A. Narayanapura,2026,12.9959732,77.6781360,3.18,42.23,50.97,6.06,82.52,332.38
AECS Layout,2020,12.9641180,77.7130369,3.54,41.03,45.9,6.32,69.59,404.87
AECS Layout,2021,12.9641180,77.7130369,2.41,22.46,26.53,11.94,48.93,447.98
AECS Layout,2022,12.9641180,77.7130369,2.55,24.9,29.17,12.02,54.31,452.68
AECS Layout,2023,12.9641180,77.7130369,2.2,22.47,26.86,12.07,54.33,456.64
AECS Layout,2024,12.9641180,77.7130369,2.13,20.62,23.69,8.62,55.88,437.55
AECS Layout,2025,12.9641180,77.7130369,2.07,20.62,25.4,7.0,54.94,282.11
AECS Layout,2026,12.9641180,77.7130369,3.2,42.92,51.69,5.79,83.49,325.56
Adugodi,2020,12.9440234,77.6088867,3.63,42.83,47.78,16.51,59.0,566.13
Adugodi,2021,12.9440234,77.6088867,2.51,24.37,28.53,18.02,41.71,606.76
Adugodi,2022,12.9440234,77.6088867,2.67,26.97,31.36,19.51,45.67,625.3
Adugodi,2023,12.9440234,77.6088867,2.22,23.57,27.92,18.23,47.04,591.49
Adugodi,2024,12.9440234,77.6088867,2.21,22.74,25.86,15.89,49.45,596.5
Adugodi,2025,12.9440234,77.6088867,2.1,21.43,26.53,10.02,53.59,327.1
Adugodi,2026,12.9440234,77.6088867,3.18,42.23,50.97,6.06,82.52,332.38
Agaram,2020,12.9472641,77.6364187,3.63,42.83,47.78,16.51,59.0,566.13
Agaram,2021,12.9472641,77.6364187,2.51,24.37,28.53,18.02,41.71,606.76
Agaram,2022,12.9472641,77.6364187,2.67,26.97,31.36,19.51,45.67,625.3
Agaram,2023,12.9472641,77.6364187,2.22,23.57,27.92,18.23,47.04,591.49
Agaram,2024,12.9472641,77.6364187,2.21,22.74,25.86,15.89,49.45,596.5
Agaram,2025,12.9472641,77.6364187,2.1,21.43,26.53,10.02,53.59,327.1
Agaram,2026,12.9472641,77.6364187,3.18,42.23,50.97,6.06,82.52,332.38
Alanahalli Thippasandra,2020,12.9157985,77.7509743,3.54,41.03,45.9,6.32,69.59,404.87
Alanahalli Thippasandra,2021,12.9157985,77.7509743,2.41,22.46,26.53,11.94,48.93,447.98
Alanahalli Thippasandra,2022,12.9157985,77.7509743,2.55,24.9,29.17,12.02,54.31,452.68
Alanahalli Thippasandra,2023,12.9157985,77.7509743,2.2,22.47,26.86,12.07,54.33,456.64
Alanahalli Thippasandra,2024,12.9157985,77.7509743,2.13,20.62,23.69,8.62,55.88,437.55
Alanahalli Thippasandra,2025,12.9157985,77.7509743,2.07,20.62,25.4,7.0,54.94,282.11
Alanahalli Thippasandra,2026,12.9157985,77.7509743,3.2,42.92,51.69,5.79,83.49,325.56
Alehalli,2020,13.0317003,77.7026814,3.54,41.03,45.9,6.32,69.59,404.87
Alehalli,2021,13.0317003,77.7026814,2.41,22.46,26.53,11.94,48.93,447.98
Alehalli,2022,13.0317003,77.7026814,2.55,24.9,29.17,12.02,54.31,452.68
Alehalli,2023,13.0317003,77.7026814,2.2,22.47,26.86,12.07,54.33,456.64
Alehalli,2024,13.0317003,77.7026814,2.13,20.62,23.69,8.62,55.88,437.55
Alehalli,2025,13.0317003,77.7026814,2.07,20.62,25.4,7.0,54.94,282.11
Alehalli,2026,13.0317003,77.7026814,3.19,41.14,49.03,4.43,87.4,304.89
Anekal,2020,12.7784026,77.7393213,3.53,40.62,45.6,5.13,72.26,396.63
Anekal,2021,12.7784026,77.7393213,2.36,21.51,25.5,8.58,52.82,396.83
Anekal,2022,12.7784026,77.7393213,2.52,24.43,28.74,9.63,57.67,414.88
Anekal,2023,12.7784026,77.7393213,2.16,21.1,25.36,8.18,58.93,391.85
Anekal,2024,12.7784026,77.7393213,2.1,19.65,22.66,5.3,59.02,387.05
Anekal,2025,12.7784026,77.7393213,2.11,21.69,27.17,7.9,55.04,298.83
Anekal,2026,12.7784026,77.7393213,3.29,44.95,54.82,7.55,78.9,352.16
Aramane Nagara,2020,13.0298439,77.5673710,3.63,42.83,47.78,16.51,59.0,566.13
Aramane Nagara,2021,13.0298439,77.5673710,2.51,24.37,28.53,18.02,41.71,606.76
Aramane Nagara,2022,13.0298439,77.5673710,2.67,26.97,31.36,19.51,45.67,625.3
Aramane Nagara,2023,13.0298439,77.5673710,2.22,23.57,27.92,18.23,47.04,591.49
Aramane Nagara,2024,13.0298439,77.5673710,2.21,22.74,25.86,15.89,49.45,596.5
Aramane Nagara,2025,13.0298439,77.5673710,2.1,21.43,26.53,10.02,53.59,327.1
Aramane Nagara,2026,13.0298439,77.5673710,3.11,39.04,46.66,4.75,86.43,313.87
Ashok Nagar,2020,12.9694359,77.6092319,3.63,42.83,47.78,16.51,59.0,566.13
Ashok Nagar,2021,12.9694359,77.6092319,2.51,24.37,28.53,18.02,41.71,606.76
Ashok Nagar,2022,12.9694359,77.6092319,2.67,26.97,31.36,19.51,45.67,625.3
Ashok Nagar,2023,12.9694359,77.6092319,2.22,23.57,27.92,18.23,47.04,591.49
Ashok Nagar,2024,12.9694359,77.6092319,2.21,22.74,25.86,15.89,49.45,596.5
Ashok Nagar,2025,12.9694359,77.6092319,2.1,21.43,26.53,10.02,53.59,327.1
Ashok Nagar,2026,12.9694359,77.6092319,3.18,42.23,50.97,6.06,82.52,332.38
Attiguppe,2020,12.9618745,77.5335505,3.63,42.83,47.78,16.51,59.0,566.13
Attiguppe,2021,12.9618745,77.5335505,2.51,24.37,28.53,18.02,41.71,606.76
Attiguppe,2022,12.9618745,77.5335505,2.67,26.97,31.36,19.51,45.67,625.3
Attiguppe,2023,12.9618745,77.5335505,2.22,23.57,27.92,18.23,47.04,591.49
Attiguppe,2024,12.9618745,77.5335505,2.21,22.74,25.86,15.89,49.45,596.5
Attiguppe,2025,12.9618745,77.5335505,2.1,21.43,26.53,10.02,53.59,327.1
Attiguppe,2026,12.9618745,77.5335505,3.1,40.65,49.24,6.17,81.26,335.27
Avalahalli,2020,12.9459464,77.5409354,3.63,42.83,47.78,16.51,59.0,566.13
Avalahalli,2021,12.9459464,77.5409354,2.51,24.37,28.53,18.02,41.71,606.76
Avalahalli,2022,12.9459464,77.5409354,2.67,26.97,31.36,19.51,45.67,625.3
Avalahalli,2023,12.9459464,77.5409354,2.22,23.57,27.92,18.23,47.04,591.49
Avalahalli,2024,12.9459464,77.5409354,2.21,22.74,25.86,15.89,49.45,596.5
